iter	Passed	Remaining
0	141	141374
1	142	71056
2	143	47585
3	143	35822
4	144	28793
5	145	24090
6	146	20723
7	146	18194
8	147	16223
9	147	14648
10	148	13363
11	149	12290
12	149	11377
13	150	10594
14	151	9917
15	151	9320
16	152	8793
17	152	8324
18	153	7904
19	153	7526
20	154	7184
21	154	6874
22	155	6590
23	155	6331
24	156	6093
25	156	5876
26	157	5673
27	157	5484
28	158	5309
29	159	5144
30	159	4992
31	160	4846
32	160	4709
33	161	4581
34	161	4459
35	162	4345
36	162	4236
37	163	4133
38	163	4036
39	164	3943
40	164	3855
41	165	3771
42	165	3692
43	166	3616
44	166	3542
45	167	3472
46	167	3405
47	168	3341
48	168	3279
49	169	3220
50	170	3164
51	170	3109
52	171	3056
53	171	3005
54	172	2956
55	172	2909
56	173	2863
57	173	2820
58	174	2778
59	174	2737
60	175	2696
61	175	2658
62	176	2620
63	176	2584
64	177	2549
65	177	2515
66	178	2488
67	179	2458
68	179	2428
69	180	2399
70	181	2370
71	181	2343
72	182	2316
73	183	2291
74	183	2265
75	184	2239
76	184	2214
77	185	2190
78	185	2165
79	186	2141
80	186	2118
81	187	2096
82	187	2071
83	187	2049
84	188	2029
85	188	2008
86	189	1988
87	189	1968
88	190	1949
89	190	1930
90	191	1912
91	191	1894
92	192	1876
93	192	1859
94	193	1842
95	193	1826
96	194	1809
97	194	1793
98	195	1778
99	195	1763
100	196	1748
101	196	1733
102	197	1719
103	197	1704
104	198	1691
105	198	1677
106	199	1663
107	200	1652
108	200	1639
109	201	1627
110	201	1615
111	202	1604
112	202	1593
113	203	1582
114	204	1572
115	204	1561
116	205	1550
117	205	1538
118	206	1528
119	207	1518
120	207	1508
121	207	1496
122	208	1486
123	208	1476
124	209	1467
125	210	1458
126	210	1448
127	211	1439
128	211	1431
129	212	1421
130	213	1413
131	213	1404
132	214	1395
133	214	1387
134	215	1379
135	216	1372
136	216	1365
137	217	1357
138	217	1349
139	218	1341
140	219	1334
141	219	1326
142	220	1318
143	220	1311
144	221	1303
145	221	1296
146	222	1289
147	222	1282
148	223	1275
149	224	1269
150	224	1263
151	225	1256
152	225	1249
153	226	1242
154	226	1236
155	227	1229
156	227	1222
157	228	1216
158	228	1209
159	229	1203
160	229	1196
161	230	1190
162	230	1185
163	231	1179
164	232	1174
165	232	1169
166	233	1163
167	233	1158
168	234	1153
169	235	1147
170	235	1142
171	236	1136
172	236	1131
173	237	1126
174	237	1121
175	238	1116
176	238	1111
177	239	1105
178	239	1100
179	240	1095
180	240	1090
181	241	1085
182	241	1080
